Player,Overall_Shooting_Rating,Total_Shots,Goals,Goal_Rate_%,Avg_Shot_Quality,Shot_Consistency,Best_Shot,Worst_Shot
alessandro schopf,71.0,31,6,19.4,68.1,23.9,100.0,35.0
klaasjan huntelaar,71.0,370,68,18.4,68.3,23.9,100.0,28.0
alvaro morata,71.0,166,28,16.9,68.5,24.8,100.0,35.0
aritz aduriz,71.0,297,53,17.8,68.3,24.5,100.0,30.0
francesc fabregas,71.0,140,27,19.3,68.1,24.6,100.0,32.0
guerrero,70.9,27,4,14.8,68.7,25.1,100.0,39.0
guido carrillo,70.9,62,12,19.4,68.0,25.1,100.0,13.0
jan schlaudraff,70.9,46,6,13.0,68.9,24.5,100.0,30.0
goran pandev,70.8,143,19,13.3,68.8,24.0,100.0,32.0
boschilia,70.8,20,6,30.0,66.2,24.6,100.0,38.0
luis suarez,70.8,433,96,22.2,67.5,25.7,100.0,29.0
diego milito,70.7,138,33,23.9,67.1,25.0,100.0,31.0
toifilou maoulida,70.7,33,4,12.1,68.9,25.0,100.0,35.0
javi guerra,70.7,217,40,18.4,67.9,24.2,100.0,29.0
duje cop,70.7,112,16,14.3,68.5,24.7,100.0,31.0
julio baptista,70.7,43,5,11.6,68.9,24.5,100.0,32.0
gerard deulofeu,70.6,59,6,10.2,69.1,23.7,95.0,32.0
javier saviola,70.6,45,9,20.0,67.6,24.6,100.0,35.0
guido marilungo,70.6,44,5,11.4,68.9,24.2,100.0,36.0
modibo maiga,70.6,108,20,18.5,67.8,24.5,100.0,32.0
anthony ujah,70.5,128,23,18.0,67.8,24.6,100.0,34.0
marcus rashford,70.4,36,8,22.2,67.0,24.0,100.0,33.0
martin harnik,70.4,235,40,17.0,67.8,25.0,100.0,25.0
chahir belghazouani,70.4,36,6,16.7,67.9,25.2,100.0,32.0
itay shechter,70.4,65,4,6.2,69.5,23.3,100.0,34.0
karim ait fana,70.4,22,3,13.6,68.4,25.7,100.0,35.0
vagner love,70.4,21,4,19.0,67.5,27.6,98.0,31.0
jamie vardy,70.4,184,34,18.5,67.7,24.9,100.0,30.0
marco borriello,70.4,203,32,15.8,68.1,24.3,100.0,33.0
vaclav kadlec,70.3,46,6,13.0,68.4,24.3,100.0,38.0
ivan santini,70.3,50,11,22.0,67.0,25.3,100.0,35.0
michy batshuayi,70.3,160,27,16.9,67.8,24.8,100.0,33.0
cheick diabate,70.3,228,47,20.6,67.2,24.3,100.0,32.0
alberto gilardino,70.3,235,47,20.0,67.3,24.3,100.0,32.0
ricardo carvalho,70.3,26,2,7.7,69.2,24.5,97.0,40.0
thievy bifouma,70.3,36,4,11.1,68.7,22.9,100.0,38.0
aissa mandi,70.3,69,15,21.7,67.0,25.6,100.0,13.0
thievy,70.3,68,11,16.2,67.9,23.1,100.0,34.0
salomon kalou,70.2,281,56,19.9,67.2,24.6,100.0,13.0
nils petersen,70.2,174,29,16.7,67.7,25.1,100.0,13.0
jussie,70.2,53,16,30.2,65.7,24.3,99.0,35.0
dimitar berbatov,70.2,103,17,16.5,67.7,24.8,100.0,31.0
iago aspas,70.1,238,39,16.4,67.6,24.9,100.0,31.0
arouna kone,70.1,127,19,15.0,67.9,24.3,100.0,32.0
mattia destro,70.1,290,51,17.6,67.5,24.9,100.0,27.0
guillherme siqueira,70.1,43,12,27.9,65.9,26.6,99.0,32.0
gregory pujol,70.0,121,20,16.5,67.5,25.8,100.0,32.0
laurent koscielny,70.0,47,11,23.4,66.4,25.6,99.0,31.0
sergio pellissier,69.9,179,31,17.3,67.4,24.6,100.0,28.0
cedric bakambu,69.9,204,32,15.7,67.5,24.7,100.0,28.0
edinson cavani,69.9,623,121,19.4,67.0,25.2,100.0,26.0
wesley said,69.9,21,2,9.5,68.5,23.5,100.0,43.0
luuk de jong,69.9,49,6,12.2,68.1,24.6,100.0,38.0
florian niederlechner,69.9,48,5,10.4,68.4,25.2,100.0,26.0
paul verhaegh,69.8,53,17,32.1,65.0,26.7,100.0,13.0
admir mehmedi,69.8,139,19,13.7,67.7,25.1,100.0,32.0
marco di vaio,69.8,65,10,15.4,67.5,24.8,100.0,27.0
jean michael seri,69.8,20,3,15.0,67.6,25.7,100.0,35.0
pierreemerick aubameyang,69.8,580,100,17.2,67.2,24.9,100.0,28.0
christian stuani,69.8,184,34,18.5,67.0,24.5,100.0,13.0
raul,69.8,76,15,19.7,66.9,25.5,100.0,33.0
markus rosenberg,69.8,74,10,13.5,67.8,24.1,100.0,30.0
mohammed abdellaoue,69.8,80,20,25.0,66.0,24.3,100.0,35.0
kalu uche,69.8,57,10,17.5,67.2,24.8,100.0,34.0
mario gotze,69.8,203,37,18.2,67.0,24.1,100.0,32.0
ben sahar,69.8,29,3,10.3,68.3,26.3,100.0,33.0
timmy simons,69.8,32,9,28.1,65.6,26.0,97.0,32.0
wissam ben yedder,69.7,367,69,18.8,66.9,24.7,100.0,29.0
juanmi,69.7,89,17,19.1,66.8,23.7,100.0,32.0
georginio wijnaldum,69.7,86,13,15.1,67.4,24.9,100.0,32.0
miku,69.7,109,23,21.1,66.5,24.4,100.0,31.0
nicolas bertolo,69.7,19,3,15.8,71.0,25.0,100.0,34.0
artur sobiech,69.7,83,16,19.3,66.8,24.6,100.0,35.0
zlatan ibrahimovic,69.7,774,153,19.8,66.7,25.1,100.0,28.0
falcao,69.7,381,80,21.0,66.6,24.9,100.0,31.0
ezequiel lavezzi,69.6,180,29,16.1,67.2,24.3,100.0,32.0
danny graham,69.6,22,2,9.1,68.3,25.9,100.0,40.0
tommaso rocchi,69.5,64,8,12.5,67.6,24.3,100.0,35.0
mesut ozil,69.5,187,33,17.6,66.9,24.2,100.0,29.0
juan gomez taleb,69.5,31,5,16.1,67.1,24.9,100.0,37.0
jimmy cabot,69.5,47,7,14.9,67.3,25.7,100.0,31.0
joaquin larrivey,69.5,156,29,18.6,66.7,24.8,100.0,29.0
pedro,69.5,267,45,16.9,67.0,24.6,100.0,33.0
vedad ibisevic,69.5,293,54,18.4,66.7,24.8,100.0,32.0
deyverson,69.5,103,15,14.6,67.3,24.5,100.0,34.0
scott sinclair,69.4,25,3,12.0,67.6,23.0,96.0,38.0
ruud van nistelrooy,69.4,35,4,11.4,67.7,22.8,100.0,37.0
charles,69.4,182,27,14.8,67.1,25.6,100.0,13.0
vitolo,69.4,101,14,13.9,67.4,24.3,100.0,32.0
nabil fekir,69.4,151,22,14.6,67.2,25.7,100.0,29.0
alexander meier,69.3,291,57,19.6,66.4,24.8,100.0,30.0
papiss demba cisse,69.3,164,25,15.2,67.0,25.5,100.0,28.0
luca antonelli,69.3,71,11,15.5,67.0,25.7,99.0,29.0
sloan privat,69.3,182,29,15.9,66.9,24.8,100.0,13.0
robin van persie,69.3,116,19,16.4,66.8,23.9,100.0,33.0
antonio cassano,69.3,151,29,19.2,66.4,25.1,100.0,28.0
neymar,69.3,318,58,18.2,66.5,24.6,100.0,29.0
stipe perica,69.3,46,6,13.0,67.4,23.9,100.0,37.0
carlton cole,69.2,34,7,20.6,66.1,25.1,100.0,35.0
alexis sanchez,69.2,445,80,18.0,66.5,24.1,100.0,30.0
ola toivonen,69.2,98,20,20.4,66.1,25.1,100.0,13.0
harry kane,69.2,353,65,18.4,66.4,25.1,100.0,13.0
german pezzella,69.2,26,3,11.5,67.5,25.1,98.0,36.0
sergio aguero,69.2,416,75,18.0,66.5,24.5,100.0,29.0
famara diedhiou,69.1,32,6,18.8,66.3,25.9,100.0,38.0
mikel arruabarrena,69.1,30,7,23.3,65.6,25.7,100.0,33.0
ousmane dembele,69.1,73,16,21.9,65.8,25.4,100.0,32.0
daniel sturridge,69.1,196,31,15.8,66.7,25.4,100.0,30.0
yoann touzghar,69.1,35,8,22.9,65.6,25.0,100.0,32.0
milivoje novakovic,69.1,38,5,13.2,67.1,26.0,100.0,33.0
fabinho,69.1,74,11,14.9,66.8,26.1,100.0,29.0
franck kessie,69.0,31,6,19.4,66.1,24.6,100.0,33.0
mame biram diouf,69.0,213,40,18.8,66.2,24.6,100.0,28.0
yoan gouffran,69.0,185,29,15.7,66.7,24.2,100.0,27.0
florin andone,69.0,96,13,13.5,66.9,25.4,100.0,13.0
alberto paloschi,68.9,261,44,16.9,66.4,24.7,100.0,29.0
cacau,68.9,87,10,11.5,67.2,25.3,100.0,33.0
jonathan walters,68.9,123,20,16.3,66.5,24.6,100.0,29.0
andrea belotti,68.9,172,32,18.6,66.1,24.8,100.0,31.0
santi mina,68.9,108,17,15.7,66.5,24.6,100.0,32.0
lois diony,68.8,28,4,14.3,66.6,24.0,100.0,38.0
mohamed wael larbi,68.8,35,7,20.0,65.8,23.7,100.0,30.0
danny welbeck,68.8,115,15,13.0,66.9,24.1,100.0,32.0
walter samuel,68.8,33,5,15.2,66.6,24.6,97.0,41.0
ciprian marica,68.7,66,9,13.6,66.7,23.9,99.0,34.0
julian draxler,68.7,230,23,10.0,67.2,24.3,100.0,31.0
igor de camargo,68.7,49,8,16.3,66.2,24.3,100.0,33.0
jose paolo guerrero,68.7,53,6,11.3,67.0,22.6,98.0,38.0
branimir hrgota,68.7,58,10,17.2,66.1,23.5,100.0,33.0
lacina traore,68.6,25,4,16.0,66.2,25.3,100.0,32.0
hugo campagnaro,68.6,25,6,24.0,65.0,25.1,98.0,35.0
julian brandt,68.5,81,17,21.0,65.4,26.3,100.0,32.0
alessandro matri,68.5,208,39,18.8,65.6,24.4,100.0,27.0
ruben castro,68.5,415,69,16.6,66.0,24.3,100.0,26.0
fin bartels,68.5,106,15,14.2,66.3,24.7,100.0,33.0
jermain defoe,68.5,191,32,16.8,66.0,24.1,100.0,34.0
jhon cordoba,68.4,103,16,15.5,66.0,23.8,100.0,34.0
lewis grabban,68.4,20,1,5.0,67.6,23.9,100.0,42.0
franck ribery,68.4,226,40,17.7,65.8,24.4,100.0,28.0
maxwell cornet,68.4,30,6,20.0,65.4,24.6,100.0,33.0
anthony martial,68.4,143,24,16.8,65.9,24.2,100.0,33.0
adrian ramos,68.4,205,32,15.6,66.1,24.0,100.0,32.0
hector moreno,68.4,44,7,15.9,66.0,24.6,100.0,34.0
divock origi,68.3,118,23,19.5,65.4,23.7,100.0,30.0
juan manuel falcon,68.3,24,4,16.7,65.8,25.2,100.0,38.0
david garcia,68.3,21,4,19.0,65.5,28.2,100.0,27.0
sergi gomez,68.3,49,8,16.3,65.9,26.0,100.0,31.0
shinji kagawa,68.3,151,25,16.6,65.8,25.1,100.0,33.0
cleber,68.3,26,2,7.7,67.1,23.7,98.0,36.0
jaime gavilan,68.3,36,1,2.8,67.9,25.0,100.0,33.0
jonathan schmid,68.2,171,21,12.3,66.4,23.9,100.0,28.0
benjamin moukandjo,68.2,203,37,18.2,65.4,25.0,100.0,32.0
ilija nestorovski,68.2,44,7,15.9,65.8,23.9,100.0,35.0
godfred donsah,68.2,34,4,11.8,66.4,25.4,100.0,33.0
emmanuel mayuka,68.2,21,4,19.0,65.3,25.5,100.0,30.0
imanol agirretxe,68.2,314,48,15.3,65.9,24.4,100.0,30.0
youssef elarabi,68.2,250,42,16.8,65.7,24.8,100.0,28.0
khouma babacar,68.1,95,16,16.8,65.6,25.0,100.0,28.0
jozabed,68.1,58,11,19.0,65.2,25.9,100.0,13.0
alberto bueno,68.1,198,32,16.2,65.7,24.9,100.0,26.0
jesse lingard,68.1,50,4,8.0,66.9,24.1,100.0,35.0
aranda,68.1,39,3,7.7,67.0,25.4,99.0,30.0
dieumerci mbokani,68.1,48,7,14.6,65.9,24.0,99.0,36.0
ludovic blas,68.1,31,1,3.2,67.6,23.8,99.0,35.0
lucas perez,68.1,156,25,16.0,65.7,24.4,100.0,30.0
daniele corvia,68.0,22,2,9.1,66.7,23.9,99.0,41.0
maxi lopez,68.0,160,22,13.8,66.0,24.1,100.0,33.0
olivier giroud,68.0,442,71,16.1,65.6,24.9,100.0,13.0
mark uth,68.0,54,12,22.2,64.7,23.8,100.0,36.0
joao pedro,68.0,48,7,14.6,65.8,24.0,100.0,31.0
mikel san jose,68.0,67,17,25.4,64.2,25.8,99.0,13.0
angel,68.0,30,5,16.7,65.5,27.4,100.0,30.0
marcello trotta,68.0,35,3,8.6,66.7,25.2,100.0,37.0
samuel,68.0,67,11,16.4,65.5,24.3,100.0,32.0
gervinho,68.0,125,16,12.8,66.1,24.3,100.0,32.0
alexander szymanowski,68.0,19,3,15.8,69.2,25.5,97.0,28.0
mouhamadou habib habibou,68.0,19,3,15.8,69.3,25.7,100.0,36.0
majeed waris,68.0,143,26,18.2,65.2,24.9,100.0,33.0
ikechukwu uche,68.0,113,21,18.6,65.2,24.1,100.0,31.0
german denis,68.0,335,56,16.7,65.5,24.1,100.0,32.0
dele alli,67.9,125,21,16.8,65.4,24.5,100.0,29.0
sergio leon,67.9,35,5,14.3,65.7,25.0,99.0,35.0
mauro icardi,67.9,323,72,22.3,64.6,24.7,100.0,29.0
julian schieber,67.9,92,15,16.3,65.5,25.3,100.0,33.0
carlos tevez,67.9,239,39,16.3,65.5,24.3,100.0,28.0
jack wilshere,67.9,56,5,8.9,66.5,22.8,100.0,32.0
eden hazard,67.9,332,62,18.7,65.1,24.5,100.0,27.0
leonardo pavoletti,67.8,123,23,18.7,65.0,25.4,100.0,30.0
brown ideye,67.8,30,4,13.3,65.8,24.6,98.0,31.0
willian jose,67.8,94,17,18.1,65.0,25.1,100.0,26.0
odion ighalo,67.8,231,29,12.6,65.9,24.1,100.0,29.0
mamadou samassa,67.8,34,5,14.7,65.6,25.9,100.0,35.0
jeremie aliadiere,67.8,186,25,13.4,65.8,23.9,100.0,30.0
romelu lukaku,67.8,366,53,14.5,65.7,24.6,100.0,13.0
luca toni,67.7,350,56,16.0,65.3,24.4,100.0,28.0
mevlut erdinc,67.7,290,44,15.2,65.4,24.5,100.0,31.0
cesare natali,67.7,33,3,9.1,66.3,24.8,98.0,34.0
borja baston,67.7,104,18,17.3,65.1,23.4,100.0,35.0
patrick herrmann,67.7,179,31,17.3,65.1,24.2,100.0,30.0
dennis oliech,67.7,118,14,11.9,65.9,25.3,100.0,31.0
franck dja djedje,67.7,35,4,11.4,66.0,25.7,98.0,32.0
charlie austin,67.7,173,25,14.5,65.5,23.9,100.0,33.0
andre gray,67.7,27,6,22.2,64.3,26.1,98.0,34.0
gojko kacar,67.7,35,5,14.3,65.5,25.8,98.0,34.0
andre luiz,67.7,19,5,26.3,67.4,29.0,97.0,13.0
roberto soldado,67.7,278,49,17.6,65.1,25.4,100.0,13.0
arjen robben,67.7,343,50,14.6,65.5,24.4,100.0,27.0
luis garcia,67.6,40,4,10.0,66.1,23.5,100.0,32.0
max meyer,67.6,124,17,13.7,65.6,23.5,100.0,28.0
luc castaignos,67.6,18,5,27.8,71.0,25.4,100.0,43.0
park chuyoung,67.6,23,3,13.0,65.6,24.1,99.0,32.0
max kruse,67.6,280,40,14.3,65.4,25.0,100.0,30.0
michu,67.6,110,15,13.6,65.5,24.1,100.0,35.0
alassane plea,67.6,168,17,10.1,66.1,24.4,100.0,29.0
charlison benschop,67.6,43,6,14.0,65.5,24.9,100.0,34.0
florent malouda,67.5,54,3,5.6,66.7,25.8,99.0,33.0
marc pugh,67.5,26,4,15.4,65.2,25.8,100.0,33.0
adam szalai,67.5,168,27,16.1,65.1,24.8,100.0,13.0
giuseppe rossi,67.5,163,26,16.0,65.1,23.7,100.0,32.0
john utaka,67.5,121,13,10.7,65.9,24.4,100.0,30.0
steven gerrard,67.5,103,22,21.4,64.3,25.7,100.0,27.0
pablo perez,67.5,31,1,3.2,67.1,25.6,98.0,27.0
pablo de blasis,67.5,68,9,13.2,65.5,24.2,100.0,33.0
paul aloo efoulou,67.4,42,3,7.1,66.4,25.8,100.0,35.0
opa nguette,67.4,47,4,8.5,66.1,24.2,100.0,35.0
guillaume hoarau,67.4,62,8,12.9,65.4,25.3,100.0,28.0
paco alcacer,67.4,194,33,17.0,64.9,24.8,100.0,31.0
izet hajrovic,67.4,25,2,8.0,66.2,24.3,93.0,33.0
gonzalo rodriguez,67.4,72,22,30.6,62.8,25.4,99.0,13.0
filip djordjevic,67.4,108,20,18.5,64.6,24.5,100.0,33.0
lucas vazquez,67.4,67,7,10.4,65.8,24.0,100.0,32.0
alexander madlung,67.4,52,10,19.2,64.6,26.4,98.0,13.0
gerard pique,67.4,92,15,16.3,65.0,23.9,100.0,36.0
matias silvestre,67.4,32,6,18.8,64.6,22.9,99.0,35.0
marcus berg,67.4,24,1,4.2,66.8,25.1,100.0,38.0
stephane darbion,67.3,58,5,8.6,66.0,25.3,100.0,32.0
alex alegria,67.3,21,2,9.5,65.9,25.6,100.0,33.0
gregoire defrel,67.3,134,22,16.4,64.8,24.6,100.0,31.0
roque santa cruz,67.3,153,24,15.7,64.9,25.1,100.0,30.0
antoniomirko colak,67.3,23,3,13.0,65.3,24.8,95.0,35.0
nicola legrottaglie,67.3,40,10,25.0,63.5,27.4,99.0,13.0
aytac sulu,67.2,30,9,30.0,62.7,28.5,99.0,13.0
jonathas,67.2,145,22,15.2,64.9,25.1,100.0,13.0
kevin nolan,67.2,72,7,9.7,65.7,24.8,100.0,33.0
marcos,67.2,29,3,10.3,65.6,26.3,98.0,30.0
gerard moreno,67.2,129,18,14.0,65.2,23.9,100.0,32.0
marco reus,67.2,408,65,15.9,64.8,24.3,100.0,28.0
theodor gebre selassie,67.2,67,10,14.9,65.0,26.1,100.0,13.0
edin dzeko,67.2,318,40,12.6,65.3,23.9,100.0,29.0
ivica olic,67.2,188,31,16.5,64.7,24.9,100.0,32.0
duvan zapata,67.1,136,24,17.6,64.4,24.5,100.0,29.0
mohamed zidan,67.1,28,7,25.0,63.4,28.2,100.0,29.0
oscar diaz,67.1,27,4,14.8,64.9,25.5,100.0,32.0
victor,67.1,132,17,12.9,65.2,25.4,100.0,30.0
rodri,67.1,59,10,16.9,64.5,23.3,99.0,34.0
stefan aigner,67.0,157,24,15.3,64.7,24.9,100.0,27.0
sabin,67.0,39,6,15.4,64.7,24.3,100.0,35.0
christophe mandanne,67.0,111,14,12.6,65.1,25.7,100.0,32.0
karim haggui,67.0,25,4,16.0,64.6,26.2,97.0,36.0
joselu,67.0,231,27,11.7,65.2,24.6,100.0,29.0
mohamed salah,67.0,160,29,18.1,64.3,24.9,100.0,33.0
anthony le tallec,67.0,73,10,13.7,65.0,25.1,100.0,32.0
jonas,67.0,245,33,13.5,65.0,24.3,100.0,32.0
raheem sterling,67.0,222,27,12.2,65.1,24.7,100.0,33.0
amauri,66.9,225,20,8.9,65.6,24.2,100.0,31.0
kelechi iheanacho,66.9,48,11,22.9,63.5,25.3,100.0,33.0
alejandro rodriguez,66.9,27,5,18.5,64.1,22.9,100.0,40.0
nemanja pejcinovic,66.9,31,7,22.6,63.5,27.0,98.0,13.0
jefferson farfan,66.9,107,18,16.8,64.4,24.5,100.0,32.0
andre ayew,66.9,340,46,13.5,64.9,24.2,100.0,33.0
emiliano moretti,66.9,44,5,11.4,65.2,24.6,99.0,37.0
chaouki ben saada,66.9,22,1,4.5,66.2,26.9,100.0,32.0
jakub blaszczykowski,66.9,120,21,17.5,64.3,25.2,100.0,28.0
timo werner,66.9,167,22,13.2,64.9,23.9,100.0,31.0
antoine griezmann,66.9,493,80,16.2,64.5,24.5,100.0,30.0
rodrigo taddei,66.9,26,3,11.5,65.2,24.5,93.0,33.0
aaron lennon,66.9,57,8,14.0,64.8,25.1,100.0,32.0
anthony modeste,66.8,393,59,15.0,64.6,23.8,100.0,32.0
emil forsberg,66.8,28,5,17.9,64.1,23.0,95.0,32.0
zargo toure,66.8,21,6,28.6,62.5,24.3,96.0,35.0
juan mata,66.8,160,26,16.2,64.4,23.3,100.0,32.0
joshua king,66.8,82,10,12.2,64.9,24.2,100.0,35.0
cristiano ronaldo,66.8,1190,198,16.6,64.3,24.7,100.0,13.0
artem kravets,66.8,42,6,14.3,64.7,25.2,100.0,35.0
sadio mane,66.8,185,31,16.8,64.3,24.2,100.0,27.0
shane long,66.8,169,23,13.6,64.8,24.7,100.0,31.0
carlos vela,66.8,404,55,13.6,64.7,24.5,100.0,29.0
angel correa,66.7,52,8,15.4,64.4,25.4,100.0,32.0
giampaolo pazzini,66.7,233,31,13.3,64.7,24.3,100.0,32.0
joe allen,66.7,67,9,13.4,64.7,25.4,100.0,33.0
franco di santo,66.7,109,18,16.5,64.2,25.1,100.0,32.0
andrepierre gignac,66.6,409,51,12.5,64.7,24.6,100.0,28.0
yussuf poulsen,66.6,29,1,3.4,66.0,24.5,100.0,38.0
david bellion,66.6,33,1,3.0,66.2,23.4,100.0,34.0
raul albentosa,66.5,27,4,14.8,64.3,24.1,98.0,39.0
david ngog,66.5,63,10,15.9,64.1,24.9,100.0,34.0
alvaro vazquez,66.5,85,12,14.1,64.3,24.5,100.0,33.0
christian benteke,66.5,243,36,14.8,64.2,23.9,100.0,33.0
foued kadir,66.5,145,16,11.0,64.9,25.5,100.0,32.0
gaetan laborde,66.4,30,3,10.0,64.9,24.5,99.0,33.0
gimenez,66.4,22,2,9.1,65.0,24.9,99.0,38.0
roland lamah,66.4,68,5,7.4,65.2,24.7,100.0,32.0
jose callejon,66.4,319,48,15.0,64.2,24.1,100.0,27.0
